날짜변수,메뉴,상관계수
ski_season,카페테리아_돼지고기 김치찌개,0.8329613414762741
ski_season,카페테리아_치즈돈까스,0.8251576826228973
ski_season,카페테리아_구슬아이스크림,0.8235865991181586
ski_season,카페테리아_새우튀김 우동,0.8139587668214869
ski_season,카페테리아_짬뽕,0.8128119798224582
ski_season,카페테리아_새우 볶음밥,0.8117714461926183
ski_season,카페테리아_수제 등심 돈까스,0.8057498028491815
ski_season,카페테리아_짜장면,0.8048190293787664
ski_season,포레스트릿_아메리카노(HOT),0.8025314249601576
ski_season,포레스트릿_카페라떼(HOT),0.7976704707909016
ski_season,포레스트릿_꼬치어묵,0.7895696799892127
ski_season,포레스트릿_치즈 핫도그,0.7871006683493568
ski_season,카페테리아_공깃밥(추가),0.7851447858341836
ski_season,카페테리아_짬뽕밥,0.7839638751398041
ski_season,포레스트릿_떡볶이,0.7776978088080821
ski_season,카페테리아_어린이 돈까스,0.7653914478513345
ski_season,카페테리아_아메리카노(HOT),0.7643448776032961
ski_season,카페테리아_카페라떼(HOT),0.7623566091271864
ski_season,카페테리아_카페라떼(ICE),0.7594813608730067
ski_season,카페테리아_복숭아 아이스티,0.7587490794352755
ski_season,카페테리아_아메리카노(ICE),0.7567044624983256
ski_season,포레스트릿_복숭아 아이스티,0.7564890789467665
ski_season,포레스트릿_생수,0.7495898685260746
ski_season,포레스트릿_페스츄리 소시지,0.7475283147259001
ski_season,포레스트릿_코카콜라,0.7419276331155795
ski_season,카페테리아_약 고추장 돌솥비빔밥,0.7350055173486079
ski_season,카페테리아_짜장밥,0.7301280249216296
ski_season,카페테리아_샷 추가,0.6985222100265703
ski_season,포레스트릿_스프라이트,0.6926171565707349
is_weekend,미라시아_브런치(대인) 주말,0.6873959473913316
ski_season,포레스트릿_아메리카노(ICE),0.6641065686775302
ski_season,포레스트릿_카페라떼(ICE),0.6236610175419985
ski_season,카페테리아_진사골 설렁탕,0.6025291001165475
year,라그로타_해산물 토마토 스튜 파스타,0.5836032973654754
dayofweek,미라시아_브런치(대인) 주말,0.5436309929341014
is_weekend,"느티나무 셀프BBQ_대여료 30,000원",0.5294754963691055
year,미라시아_콥 샐러드,0.5156130142443421
year,라그로타_AUS (200g),0.5115348977530041
is_weekend,"느티나무 셀프BBQ_대여료 60,000원",0.5108298296223982
is_weekend,미라시아_브런치(대인) 주중,0.5103926969491367
year,라그로타_버섯 크림 리조또,0.5076628360798164
dayofweek,"느티나무 셀프BBQ_대여료 30,000원",0.5003424329443579
year,담하_갱시기,0.48293090850494974
year,라그로타_까르보나라,0.4756525653735506
is_weekend,담하_한우 떡갈비 정식,0.47416374994731886
year,라그로타_한우 (200g),0.4696208986660339
ski_season,카페테리아_한상 삼겹구이 정식(2인) 소요시간 약 15~20분,0.46874447295103194
dayofweek,"느티나무 셀프BBQ_대여료 60,000원",0.4625128411210336
ski_season,연회장_로제 치즈떡볶이,0.4523877833044478
month,포레스트릿_복숭아 아이스티,0.4493453640240852
dayofyear,포레스트릿_복숭아 아이스티,0.44670579129677024
ski_season,담하_생목살 김치찌개,0.4433726332150653
quarter,카페테리아_한상 삼겹구이 정식(2인) 소요시간 약 15~20분,0.44262800727491614
weekofyear,포레스트릿_복숭아 아이스티,0.43876083336760346
month,카페테리아_복숭아 아이스티,0.4364971493507773
year,라그로타_양갈비 (4ps),0.43594972600724
is_weekend,담하_공깃밥,0.43424825646519283
ski_season,화담숲카페_메밀미숫가루,0.4337403538355024
month,카페테리아_카페라떼(ICE),0.433287649873839
month,카페테리아_새우튀김 우동,0.4332253078255634
ski_season,화담숲주막_참살이 막걸리,0.43277656400305653
ski_season,미라시아_애플망고 에이드,0.43273535249547573
dayofyear,카페테리아_복숭아 아이스티,0.43074791904005294
ski_season,화담숲주막_느린마을 막걸리,0.4307142747806713
dayofyear,카페테리아_카페라떼(ICE),0.42899282813308515
ski_season,화담숲주막_병천순대,0.4270765116541942
dayofyear,카페테리아_새우튀김 우동,0.42651434562392887
ski_season,화담숲카페_아메리카노 ICE,0.42469618391279235
month,포레스트릿_코카콜라,0.42458607427701645
weekofyear,카페테리아_복숭아 아이스티,0.42350105557624157
weekofyear,카페테리아_카페라떼(ICE),0.42314467829514696
dayofyear,포레스트릿_코카콜라,0.42183607067845796
is_weekend,담하_한우 우거지 국밥,0.42151710112127083
is_weekend,미라시아_(화덕) 불고기 페퍼로니 반반피자,0.4207185217361915
month,카페테리아_샷 추가,0.41670344241196766
dayofweek,연회장_모둠 돈육구이(3인),0.4160914716387331
dayofweek,라그로타_해산물 토마토 스파게티,0.4159294896424691
weekofyear,포레스트릿_코카콜라,0.4146550538311252
weekofyear,카페테리아_새우튀김 우동,0.4141056382087334
ski_season,화담숲카페_카페라떼 ICE,0.41277256544142293
dayofyear,카페테리아_샷 추가,0.4124735864047564
quarter,포레스트릿_복숭아 아이스티,0.41222986767435776
dayofweek,연회장_골뱅이무침,0.4097186043065509
dayofweek,라그로타_Gls.미션 서드,0.4094190319003494
is_weekend,미라시아_BBQ Platter,0.40833798965892365
month,카페테리아_짜장밥,0.40622829407612426
dayofweek,미라시아_브런치(대인) 주중,0.4060243588408121
month,카페테리아_구슬아이스크림,0.405992505475266
year,라그로타_알리오 에 올리오 ,0.4055374243989805
quarter,화담숲주막_참살이 막걸리,0.4053642771198285
month,카페테리아_치즈돈까스,0.40534444168702016
weekofyear,카페테리아_샷 추가,0.4045358113402289
