메뉴1,메뉴2,상관계수
카페테리아_아메리카노(HOT),카페테리아_카페라떼(HOT),0.9806647043415659
포레스트릿_꼬치어묵,포레스트릿_치즈 핫도그,0.9754572080967925
포레스트릿_꼬치어묵,포레스트릿_떡볶이,0.9749370273982567
화담숲주막_병천순대,화담숲주막_해물파전,0.9726560395167242
화담숲주막_스프라이트,화담숲주막_콜라,0.9694350294328969
카페테리아_수제 등심 돈까스,카페테리아_치즈돈까스,0.967808938617778
포레스트릿_아메리카노(HOT),포레스트릿_카페라떼(HOT),0.9660018241424965
카페테리아_복숭아 아이스티,카페테리아_아메리카노(ICE),0.9642176489845916
카페테리아_수제 등심 돈까스,카페테리아_짜장면,0.963604239763362
카페테리아_수제 등심 돈까스,카페테리아_짬뽕,0.9629703152392526
카페테리아_돼지고기 김치찌개,카페테리아_수제 등심 돈까스,0.9627709667581014
포레스트릿_꼬치어묵,포레스트릿_아메리카노(HOT),0.9626989927675953
카페테리아_수제 등심 돈까스,포레스트릿_꼬치어묵,0.9622666827949361
카페테리아_짬뽕,카페테리아_치즈돈까스,0.9616564083384468
카페테리아_새우튀김 우동,카페테리아_치즈돈까스,0.9616070284231865
포레스트릿_떡볶이,포레스트릿_치즈 핫도그,0.9615933219858902
느티나무 셀프BBQ_스프라이트 (단체),느티나무 셀프BBQ_콜라 (단체),0.9600084135672883
카페테리아_수제 등심 돈까스,포레스트릿_아메리카노(HOT),0.9568042370321951
화담숲주막_느린마을 막걸리,화담숲주막_해물파전,0.9552309346436058
카페테리아_아메리카노(ICE),카페테리아_카페라떼(ICE),0.9550205313757715
카페테리아_치즈돈까스,포레스트릿_아메리카노(HOT),0.954967382342909
카페테리아_짜장면,카페테리아_짬뽕,0.9549038666343658
카페테리아_수제 등심 돈까스,포레스트릿_치즈 핫도그,0.9545790746333066
카페테리아_짜장면,카페테리아_치즈돈까스,0.9544571039596131
화담숲주막_콜라,화담숲주막_해물파전,0.954322753687137
화담숲주막_느린마을 막걸리,화담숲주막_병천순대,0.9530920474943846
카페테리아_복숭아 아이스티,카페테리아_카페라떼(ICE),0.9522587829626532
카페테리아_아메리카노(ICE),포레스트릿_꼬치어묵,0.9521003377281422
카페테리아_수제 등심 돈까스,카페테리아_짬뽕밥,0.9520323429384242
카페테리아_돼지고기 김치찌개,카페테리아_치즈돈까스,0.9493051602379461
포레스트릿_아메리카노(HOT),포레스트릿_치즈 핫도그,0.9492228095896919
카페테리아_아메리카노(ICE),포레스트릿_페스츄리 소시지,0.9475890318387435
카페테리아_수제 등심 돈까스,포레스트릿_카페라떼(HOT),0.9462720448866029
포레스트릿_꼬치어묵,포레스트릿_페스츄리 소시지,0.9456373563264524
카페테리아_복숭아 아이스티,카페테리아_새우튀김 우동,0.9452052285245831
화담숲주막_스프라이트,화담숲주막_해물파전,0.9447293459459049
카페테리아_새우튀김 우동,카페테리아_아메리카노(HOT),0.9444404979281625
카페테리아_치즈돈까스,포레스트릿_꼬치어묵,0.9438024730346625
카페테리아_구슬아이스크림,포레스트릿_꼬치어묵,0.9432146932870955
카페테리아_구슬아이스크림,카페테리아_치즈돈까스,0.9428666595558878
카페테리아_아메리카노(ICE),카페테리아_치즈돈까스,0.942410193918222
포레스트릿_복숭아 아이스티,포레스트릿_스프라이트,0.9421183025886396
포레스트릿_꼬치어묵,포레스트릿_카페라떼(HOT),0.9417912950891983
카페테리아_구슬아이스크림,카페테리아_수제 등심 돈까스,0.9417401412507543
카페테리아_돼지고기 김치찌개,카페테리아_짬뽕,0.9413164899479798
포레스트릿_치즈 핫도그,포레스트릿_페스츄리 소시지,0.9411792448158444
카페테리아_치즈돈까스,포레스트릿_카페라떼(HOT),0.9408323925958365
카페테리아_복숭아 아이스티,포레스트릿_페스츄리 소시지,0.9400261057462725
카페테리아_짬뽕밥,카페테리아_치즈돈까스,0.9398110351707154
화담숲카페_아메리카노 ICE,화담숲카페_카페라떼 ICE,0.9398037019933291
카페테리아_짜장면,포레스트릿_아메리카노(HOT),0.9383993882408064
카페테리아_새우튀김 우동,카페테리아_짬뽕,0.9383481742632144
포레스트릿_코카콜라,포레스트릿_페스츄리 소시지,0.9382993288766954
카페테리아_새우튀김 우동,포레스트릿_아메리카노(HOT),0.937963507442091
카페테리아_구슬아이스크림,포레스트릿_치즈 핫도그,0.9379319522084082
포레스트릿_떡볶이,포레스트릿_생수,0.9374104634526841
화담숲주막_단호박 식혜 ,화담숲주막_찹쌀식혜,0.9371632301704659
카페테리아_카페라떼(ICE),포레스트릿_페스츄리 소시지,0.936586515182095
카페테리아_복숭아 아이스티,카페테리아_치즈돈까스,0.9365297248508782
카페테리아_짬뽕,포레스트릿_아메리카노(HOT),0.9362882117597523
화담숲주막_병천순대,화담숲주막_콜라,0.936148058659015
카페테리아_구슬아이스크림,포레스트릿_아메리카노(HOT),0.9357211423924241
카페테리아_구슬아이스크림,포레스트릿_카페라떼(HOT),0.9355467096813467
카페테리아_돼지고기 김치찌개,카페테리아_짜장면,0.9354714705761598
카페테리아_새우튀김 우동,카페테리아_아메리카노(ICE),0.935457017122037
카페테리아_수제 등심 돈까스,포레스트릿_떡볶이,0.9353158867531581
카페테리아_짬뽕,카페테리아_짬뽕밥,0.9347916405005683
카페테리아_아메리카노(HOT),카페테리아_치즈돈까스,0.9343093821690839
화담숲주막_찹쌀식혜,화담숲주막_콜라,0.934061324856746
카페테리아_수제 등심 돈까스,카페테리아_아메리카노(HOT),0.9336914457346115
화담숲주막_병천순대,화담숲주막_스프라이트,0.933646345052665
카페테리아_새우튀김 우동,카페테리아_수제 등심 돈까스,0.9332460578355994
카페테리아_치즈돈까스,포레스트릿_치즈 핫도그,0.9328382319867947
포레스트릿_아메리카노(HOT),포레스트릿_페스츄리 소시지,0.9321088231262405
화담숲주막_스프라이트,화담숲주막_찹쌀식혜,0.9319627767991148
카페테리아_짜장면,포레스트릿_카페라떼(HOT),0.9318542222811296
카페테리아_새우튀김 우동,카페테리아_카페라떼(HOT),0.9316324244387748
포레스트릿_치즈 핫도그,포레스트릿_카페라떼(HOT),0.9316054412801029
화담숲주막_병천순대,화담숲주막_참살이 막걸리,0.9315103976855982
카페테리아_수제 등심 돈까스,카페테리아_아메리카노(ICE),0.9313148841246057
카페테리아_아메리카노(ICE),포레스트릿_치즈 핫도그,0.9305818725775309
화담숲주막_느린마을 막걸리,화담숲주막_참살이 막걸리,0.9305782032033194
카페테리아_구슬아이스크림,카페테리아_아메리카노(ICE),0.9303854078921759
카페테리아_짬뽕,포레스트릿_꼬치어묵,0.9302154646923455
카페테리아_치즈돈까스,포레스트릿_페스츄리 소시지,0.9300213624572196
카페테리아_새우튀김 우동,카페테리아_카페라떼(ICE),0.9297165525910249
카페테리아_아메리카노(HOT),포레스트릿_아메리카노(HOT),0.9293844854539679
